link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,https://www.buzzfeed.com/amphtml/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,2175,55,4282,133,1
https://www.buzzfeed.com/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,https://www.buzzfeed.com/amphtml/claudiakoerner/rosie-odonnell-is-trolling-trump-with-this-crazy-snl-inspire,6296,533,3499,156,2
https://www.buzzfeed.com/claudiakoerner,https://www.buzzfeed.com/amphtml/claudiakoerner,4884,1236,4996,1286,0
https://www.buzzfeed.com/claudiakoerner,https://www.buzzfeed.com/amphtml/claudiakoerner,1258,61,6300,468,1
https://www.buzzfeed.com/claudiakoerner,https://www.buzzfeed.com/amphtml/claudiakoerner,10503,686,10661,1238,2
https://www.buzzfeed.com/michellerennex/horngry,https://www.buzzfeed.com/amphtml/michellerennex/horngry,2450,121,1413,449,0
https://www.buzzfeed.com/michellerennex/horngry,https://www.buzzfeed.com/amphtml/michellerennex/horngry,6542,808,1911,82,1
https://www.buzzfeed.com/michellerennex/horngry,https://www.buzzfeed.com/amphtml/michellerennex/horngry,2227,63,950,90,2
https://www.buzzfeed.com/michellerennex,https://www.buzzfeed.com/amphtml/michellerennex,3383,2201,3878,1640,0
https://www.buzzfeed.com/michellerennex,https://www.buzzfeed.com/amphtml/michellerennex,1350,78,2375,71,1
https://www.buzzfeed.com/michellerennex,https://www.buzzfeed.com/amphtml/michellerennex,4211,148,6311,128,2
https://www.buzzfeed.com/gyanyankovich/how-you-saved-money-at-uni,https://www.buzzfeed.com/amphtml/gyanyankovich/how-you-saved-money-at-uni,3621,819,2640,418,0
https://www.buzzfeed.com/gyanyankovich/how-you-saved-money-at-uni,https://www.buzzfeed.com/amphtml/gyanyankovich/how-you-saved-money-at-uni,2441,73,1574,252,1
https://www.buzzfeed.com/gyanyankovich/how-you-saved-money-at-uni,https://www.buzzfeed.com/amphtml/gyanyankovich/how-you-saved-money-at-uni,3302,89,1250,116,2
https://www.buzzfeed.com/gyanyankovich,https://www.buzzfeed.com/amphtml/gyanyankovich,3597,1452,8212,1519,0
https://www.buzzfeed.com/gyanyankovich,https://www.buzzfeed.com/amphtml/gyanyankovich,2904,198,5134,781,1
https://www.buzzfeed.com/gyanyankovich,https://www.buzzfeed.com/amphtml/gyanyankovich,4515,820,10182,530,2
https://www.buzzfeed.com/kristinharris/celebrity-valentine,https://www.buzzfeed.com/amphtml/kristinharris/celebrity-valentine,14964,1104,2190,906,0
https://www.buzzfeed.com/kristinharris/celebrity-valentine,https://www.buzzfeed.com/amphtml/kristinharris/celebrity-valentine,6419,626,10769,622,1
https://www.buzzfeed.com/kristinharris/celebrity-valentine,https://www.buzzfeed.com/amphtml/kristinharris/celebrity-valentine,2530,104,2855,492,2
