link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.buzzfeed.com/jessicamisener,https://www.buzzfeed.com/amphtml/jessicamisener,1912,58,6051,123,2
https://www.buzzfeed.com/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,https://www.buzzfeed.com/amphtml/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,1999,59,1132,508,0
https://www.buzzfeed.com/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,https://www.buzzfeed.com/amphtml/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,2190,63,818,48,1
https://www.buzzfeed.com/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,https://www.buzzfeed.com/amphtml/pablovaldivia/these-3-questions-will-determine-where-youll-meet-your-soulm,1956,43,645,46,2
https://www.buzzfeed.com/pablovaldivia,https://www.buzzfeed.com/amphtml/pablovaldivia,3714,2049,3708,1516,0
https://www.buzzfeed.com/pablovaldivia,https://www.buzzfeed.com/amphtml/pablovaldivia,1492,58,2008,129,1
https://www.buzzfeed.com/pablovaldivia,https://www.buzzfeed.com/amphtml/pablovaldivia,1399,71,2287,74,2
https://www.buzzfeed.com/claudiakoerner/amal-and-george-clooney-are-expecting-twins,https://www.buzzfeed.com/amphtml/claudiakoerner/amal-and-george-clooney-are-expecting-twins,3167,754,1486,459,0
https://www.buzzfeed.com/claudiakoerner/amal-and-george-clooney-are-expecting-twins,https://www.buzzfeed.com/amphtml/claudiakoerner/amal-and-george-clooney-are-expecting-twins,2291,53,1092,42,1
https://www.buzzfeed.com/claudiakoerner/amal-and-george-clooney-are-expecting-twins,https://www.buzzfeed.com/amphtml/claudiakoerner/amal-and-george-clooney-are-expecting-twins,2440,52,1174,67,2
https://www.buzzfeed.com/dylanrkeith/cheesy-cornbread-topped-chili,https://www.buzzfeed.com/amphtml/dylanrkeith/cheesy-cornbread-topped-chili,2011,54,1475,383,0
https://www.buzzfeed.com/dylanrkeith/cheesy-cornbread-topped-chili,https://www.buzzfeed.com/amphtml/dylanrkeith/cheesy-cornbread-topped-chili,2393,50,1044,45,1
https://www.buzzfeed.com/dylanrkeith/cheesy-cornbread-topped-chili,https://www.buzzfeed.com/amphtml/dylanrkeith/cheesy-cornbread-topped-chili,1700,69,1070,37,2
https://www.buzzfeed.com/tahliapritchard/dj-ralphie,https://www.buzzfeed.com/amphtml/tahliapritchard/dj-ralphie,2459,50,5183,719,0
https://www.buzzfeed.com/tahliapritchard/dj-ralphie,https://www.buzzfeed.com/amphtml/tahliapritchard/dj-ralphie,2885,50,5241,39,1
https://www.buzzfeed.com/tahliapritchard/dj-ralphie,https://www.buzzfeed.com/amphtml/tahliapritchard/dj-ralphie,6011,66,10970,84,2
https://www.buzzfeed.com/tahliapritchard,https://www.buzzfeed.com/amphtml/tahliapritchard,2987,1759,4554,1533,0
https://www.buzzfeed.com/tahliapritchard,https://www.buzzfeed.com/amphtml/tahliapritchard,2075,51,2328,55,1
https://www.buzzfeed.com/tahliapritchard,https://www.buzzfeed.com/amphtml/tahliapritchard,1262,53,2257,56,2
https://www.buzzfeed.com/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,https://www.buzzfeed.com/amphtml/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,2923,75,774,72,0
https://www.buzzfeed.com/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,https://www.buzzfeed.com/amphtml/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,2397,54,706,39,1
https://www.buzzfeed.com/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,https://www.buzzfeed.com/amphtml/mikespohr/29-kids-who-just-dont-know-how-to-talk-good,4200,66,807,39,2
https://www.buzzfeed.com/mikespohr,https://www.buzzfeed.com/amphtml/mikespohr,1425,155,3607,1383,0
https://www.buzzfeed.com/mikespohr,https://www.buzzfeed.com/amphtml/mikespohr,2263,70,1896,57,1
https://www.buzzfeed.com/mikespohr,https://www.buzzfeed.com/amphtml/mikespohr,1245,50,1877,58,2
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,4425,666,1340,93,0
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,3431,84,1396,299,1
https://www.washingtonpost.com/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,https://www.washingtonpost.com/amphtml/news/post-nation/wp/2017/02/06/twitter-mocks-a-tiny-trump-rally/,5723,631,1293,100,2
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,3842,79,1947,423,0
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,3882,83,1241,119,1
https://www.washingtonpost.com/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,https://www.washingtonpost.com/amphtml/news/worldviews/wp/2017/02/06/bill-oreilly-called-putin-a-killer-now-the-kremlin-wants-an-apology-from-fox-news/,3204,67,1426,97,2
https://www.washingtonpost.com/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,https://www.washingtonpost.com/amphtml/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,3700,76,1372,100,0
https://www.washingtonpost.com/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,https://www.washingtonpost.com/amphtml/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,4617,85,1486,362,1
https://www.washingtonpost.com/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,https://www.washingtonpost.com/amphtml/news/the-fix/wp/2017/02/06/she-had-something-to-say-about-betsy-devos-so-she-sent-her-senator-a-pizza-with-a-message/,4875,49,1162,97,2
