link,amp_link,non_amp_total,non_amp_response,amp_total,amp_response,attempt#
https://www.theguardian.com/sport/2017/feb/21/magic-johnson-los-angeles-lakers-fire-mitch-kupchak-nba,https://amp.theguardian.com/sport/2017/feb/21/magic-johnson-los-angeles-lakers-fire-mitch-kupchak-nba,4449,185,1311,174,0
https://www.theguardian.com/sport/2017/feb/21/magic-johnson-los-angeles-lakers-fire-mitch-kupchak-nba,https://amp.theguardian.com/sport/2017/feb/21/magic-johnson-los-angeles-lakers-fire-mitch-kupchak-nba,11540,192,1191,43,1
https://www.theguardian.com/sport/2017/feb/21/magic-johnson-los-angeles-lakers-fire-mitch-kupchak-nba,https://amp.theguardian.com/sport/2017/feb/21/magic-johnson-los-angeles-lakers-fire-mitch-kupchak-nba,3775,87,1171,46,2
https://www.theguardian.com/sport/blog/2017/feb/21/worst-trade-ever-demarcus-cousins-sacramento-kings-pelicans,https://amp.theguardian.com/sport/blog/2017/feb/21/worst-trade-ever-demarcus-cousins-sacramento-kings-pelicans,4390,68,1336,218,0
https://www.theguardian.com/sport/blog/2017/feb/21/worst-trade-ever-demarcus-cousins-sacramento-kings-pelicans,https://amp.theguardian.com/sport/blog/2017/feb/21/worst-trade-ever-demarcus-cousins-sacramento-kings-pelicans,5803,425,1620,178,1
https://www.theguardian.com/sport/blog/2017/feb/21/worst-trade-ever-demarcus-cousins-sacramento-kings-pelicans,https://amp.theguardian.com/sport/blog/2017/feb/21/worst-trade-ever-demarcus-cousins-sacramento-kings-pelicans,4364,278,1163,42,2
https://www.theguardian.com/sport/2017/feb/20/demarcus-cousins-trade-new-orleans-pelicans-sacramento-kings,https://amp.theguardian.com/sport/2017/feb/20/demarcus-cousins-trade-new-orleans-pelicans-sacramento-kings,4792,178,1336,193,0
https://www.theguardian.com/sport/2017/feb/20/demarcus-cousins-trade-new-orleans-pelicans-sacramento-kings,https://amp.theguardian.com/sport/2017/feb/20/demarcus-cousins-trade-new-orleans-pelicans-sacramento-kings,4184,70,1327,177,1
https://www.theguardian.com/sport/2017/feb/20/demarcus-cousins-trade-new-orleans-pelicans-sacramento-kings,https://amp.theguardian.com/sport/2017/feb/20/demarcus-cousins-trade-new-orleans-pelicans-sacramento-kings,4832,68,1285,45,2
https://www.theguardian.com/sport/2017/feb/21/candace-wiggins-stanford-university-basketball,https://amp.theguardian.com/sport/2017/feb/21/candace-wiggins-stanford-university-basketball,3898,170,1248,140,0
https://www.theguardian.com/sport/2017/feb/21/candace-wiggins-stanford-university-basketball,https://amp.theguardian.com/sport/2017/feb/21/candace-wiggins-stanford-university-basketball,4284,67,1160,45,1
https://www.theguardian.com/sport/2017/feb/21/candace-wiggins-stanford-university-basketball,https://amp.theguardian.com/sport/2017/feb/21/candace-wiggins-stanford-university-basketball,3813,90,1118,47,2
https://www.theguardian.com/sport/2017/feb/21/womens-hockey-south-korea-thailand,https://amp.theguardian.com/sport/2017/feb/21/womens-hockey-south-korea-thailand,3317,176,1354,200,0
https://www.theguardian.com/sport/2017/feb/21/womens-hockey-south-korea-thailand,https://amp.theguardian.com/sport/2017/feb/21/womens-hockey-south-korea-thailand,3640,207,1517,37,1
https://www.theguardian.com/sport/2017/feb/21/womens-hockey-south-korea-thailand,https://amp.theguardian.com/sport/2017/feb/21/womens-hockey-south-korea-thailand,4898,174,1127,39,2
https://www.theguardian.com/sport/2017/feb/21/roger-federer-extends-playing-career-2019-swiss-indoor-deal,https://amp.theguardian.com/sport/2017/feb/21/roger-federer-extends-playing-career-2019-swiss-indoor-deal,3184,66,1298,44,0
https://www.theguardian.com/sport/2017/feb/21/roger-federer-extends-playing-career-2019-swiss-indoor-deal,https://amp.theguardian.com/sport/2017/feb/21/roger-federer-extends-playing-career-2019-swiss-indoor-deal,3807,84,1167,35,1
https://www.theguardian.com/sport/2017/feb/21/roger-federer-extends-playing-career-2019-swiss-indoor-deal,https://amp.theguardian.com/sport/2017/feb/21/roger-federer-extends-playing-career-2019-swiss-indoor-deal,4368,57,1255,41,2
https://www.theguardian.com/football/2017/feb/21/brian-schmetzer-seattle-sounders-mls-cup-interview,https://amp.theguardian.com/football/2017/feb/21/brian-schmetzer-seattle-sounders-mls-cup-interview,3677,184,1361,186,0
https://www.theguardian.com/football/2017/feb/21/brian-schmetzer-seattle-sounders-mls-cup-interview,https://amp.theguardian.com/football/2017/feb/21/brian-schmetzer-seattle-sounders-mls-cup-interview,3747,82,1308,192,1
https://www.theguardian.com/football/2017/feb/21/brian-schmetzer-seattle-sounders-mls-cup-interview,https://amp.theguardian.com/football/2017/feb/21/brian-schmetzer-seattle-sounders-mls-cup-interview,3630,68,1138,40,2
https://www.theguardian.com/commentisfree/2017/feb/21/milo-yiannopoulos-republican-bigotry-alt-right,https://amp.theguardian.com/commentisfree/2017/feb/21/milo-yiannopoulos-republican-bigotry-alt-right,3579,70,1744,143,0
https://www.theguardian.com/commentisfree/2017/feb/21/milo-yiannopoulos-republican-bigotry-alt-right,https://amp.theguardian.com/commentisfree/2017/feb/21/milo-yiannopoulos-republican-bigotry-alt-right,3643,85,1164,41,1
https://www.theguardian.com/commentisfree/2017/feb/21/milo-yiannopoulos-republican-bigotry-alt-right,https://amp.theguardian.com/commentisfree/2017/feb/21/milo-yiannopoulos-republican-bigotry-alt-right,3690,69,1237,43,2
https://www.theguardian.com/commentisfree/2017/feb/21/womens-day-strike-march-8-donald-trump,https://amp.theguardian.com/commentisfree/2017/feb/21/womens-day-strike-march-8-donald-trump,3370,67,1326,151,0
https://www.theguardian.com/commentisfree/2017/feb/21/womens-day-strike-march-8-donald-trump,https://amp.theguardian.com/commentisfree/2017/feb/21/womens-day-strike-march-8-donald-trump,3594,66,1180,76,1
https://www.theguardian.com/commentisfree/2017/feb/21/womens-day-strike-march-8-donald-trump,https://amp.theguardian.com/commentisfree/2017/feb/21/womens-day-strike-march-8-donald-trump,3760,84,1254,39,2
https://www.theguardian.com/society/2017/feb/21/uk-us-hate-crime-rise-rightwing-populism,https://amp.theguardian.com/society/2017/feb/21/uk-us-hate-crime-rise-rightwing-populism,4584,66,1280,174,0
https://www.theguardian.com/society/2017/feb/21/uk-us-hate-crime-rise-rightwing-populism,https://amp.theguardian.com/society/2017/feb/21/uk-us-hate-crime-rise-rightwing-populism,3610,71,1581,41,1
https://www.theguardian.com/society/2017/feb/21/uk-us-hate-crime-rise-rightwing-populism,https://amp.theguardian.com/society/2017/feb/21/uk-us-hate-crime-rise-rightwing-populism,10798,108,1245,50,2
https://www.theguardian.com/lifeandstyle/2017/feb/21/no-wives-withholding-sex-are-not-to-blame-for-male-violence,https://amp.theguardian.com/lifeandstyle/2017/feb/21/no-wives-withholding-sex-are-not-to-blame-for-male-violence,4179,189,1394,204,0
https://www.theguardian.com/lifeandstyle/2017/feb/21/no-wives-withholding-sex-are-not-to-blame-for-male-violence,https://amp.theguardian.com/lifeandstyle/2017/feb/21/no-wives-withholding-sex-are-not-to-blame-for-male-violence,5289,78,1379,184,1
